Rank,Performance,"Surname, first name",Club,Nat.,YOB,M/F,Rank M/F,Cat,Cat. Rank,Avg.Speed km/h,Age graded performance,Runner ID,Event,Date,Distance,Finishers,winner_time,"Original name
Surname, first name",hours
64,6:59:53 h,"Whittington, Tom",,GBR,1976,M,48,M40,8,6.830,6:44:04 h,462993,4th Peaks Skyrace (Peak Skyline) (GBR),06.08.2017,29.7mi  trail race,"105 (74 M, 31 F)",4:31:24 h,,
65,7:59:34 h,,Macclesfield Harriers,GBR,1976,M,49,M40,15,6.881,7:41:30 h,462993,4th Ultimate Trails Challenge 55 km (GBR),01.07.2017,55km  trail race,"436 (271 M, 165 F)",5:52:24 h,"Whittington, Tom",
77,8:21:22 h,"Whittington, Tom",,GBR,1976,M,70,M40,11,6.941,8:06:08 h,462993,6th Tour de Helvellyn (GBR),17.12.2016,58km  trail race,"201 (160 M, 41 F)",5:42:46 h,,
148,16:20:31 h,,,GBR,1976,M,113,M40,26,5.061,15:50:43 h,462993,Lakes in a day Ultra 50mi (GBR),08.-09.10.2016,82.7km  trail race,"273 (205 M, 68 F)",10:16:28 h,"Whittington, Tom",
30,7:07:46 h,"Whittington, Tom",Macclesfield Harriers,GBR,1976,M,27,M40,10,7.714,6:54:46 h,462993,3rd Ultimate Trails Challenge 55 km (GBR),02.07.2016,55km  trail race,"449 (300 M, 149 F)",5:26:07 h,,
151,10:55:30 h,"Whittington, Tom",Macclesfield Harriers,GBR,1976,M,129,M40,22,5.450,10:35:35 h,462993,Old County Tops Fell Race (GBR),21.05.2016,37mi  trail race,"186 (156 M, 30 F)",6:53:51 h,,
280,11:56:12 h,"Whittington, Tom",Macclesfield Harriers,GBR,1976,M,177,M35,21,4.608,11:39:10 h,462993,2nd Ultimate Trails Challenge 55 km (GBR),27.06.2015,55km  trail race,"312 (189 M, 123 F)",6:45:21 h,,
27,5:52:34 h,"Whittington, Tom",Macclesfield Harrier,GBR,1976,M,25,M35,5,8.134,5:46:14 h,462993,1st Peaks Skyrace (Peak Skyline) (GBR),10.08.2014,29.7mi  trail race,"76 (61 M, 15 F)",4:22:52 h,,
105,10:13:00 h,"Whittington, Tom",Macclesfield,GBR,1976,M,94,M35,15,5.828,10:01:58 h,462993,Old County Tops Fell Race (GBR),17.05.2014,37mi  trail race,"136 (115 M, 21 F)",7:10:45 h,,
44,18:01:04 h,"Whittington, Tom",*Knutsford,GBR,1976,M,38,M35,15,5.550,17:47:01 h,462993,1st Ultimate Trails Challenge 100 km (GBR),14.-15.09.2013,100km  trail race,"86 (68 M, 18 F)",11:38:44 h,,
70,8:51:24 h,,Collingwood AC,GBR,1973,M,62,M50,5,9.085,7:54:07 h,1034895,11th South Downs Way 50 Mile Race (GBR),08.04.2023,50mi  trail race,"356 (273 M, 83 F)",6:12:16 h,"Dow, Robin",
163,34:04:45 h,"Dow, Robin",,GBR,1973,M,144,M45,30,4.722,30:40:17 h,1034895,Lakeland 100 Mile (GBR),29.-31.07.2022,100mi  trail race,"323 (265 M, 58 F)",20:46:02 h,,
59,8:40:56 h,,Collingwood AC,GBR,1973,M,52,M45,9,9.268,7:48:51 h,1034895,10th South Downs Way 50 Mile Race (GBR),09.04.2022,50mi  trail race,"355 (263 M, 92 F)",6:49:10 h,"Dow, Robin",
117,9:37:24 h,"Dow, Robin",Keswick AC,GBR,1973,M,102,M45,11,6.188,8:53:11 h,1034895,Old County Tops Fell Race (GBR),18.05.2019,37mi  trail race,"246 (201 M, 45 F)",6:58:08 h,,
37,8:14:58 h,,,GBR,1973,M,31,M45,10,9.754,7:37:04 h,1034895,7th South Downs Way 50 Mile Race (GBR),06.04.2019,50mi  trail race,"354 (271 M, 83 F)",6:35:49 h,"Dow, Robin",
37,14:27:54 h,"Dow, Robin",Collingwood,GBR,1973,M,35,M45,7,5.563,13:28:07 h,1034895,Lakes in a day Ultra (GBR),13.-14.10.2018,50mi  trail race,"238 (195 M, 43 F)",10:45:01 h,,
114,12:15:29 h,,,GBR,1973,M,95,M40,35,6.564,11:30:33 h,1034895,2nd Wendover Woods 50 (GBR),25.11.2017,50mi  trail race,"185 (145 M, 40 F)",7:33:59 h,"Dow, Robin",
1,8:59:35 h,"Bland, Ellis",,GBR,1993,M,1,M23,1,8.948,8:59:35 h,1186436,Lakes in a day Ultra (GBR),07.-08.10.2023,50mi  trail race,"251 (194 M, 57 F)",8:59:35 h,,
16,10:44:41 h,,,GBR,1993,M,11,M23,8,9.307,10:44:41 h,1186436,10th The Canyons Endurance 100 Km Run (USA),29.04.2023,100km  trail race,"391 (299 M, 92 F)",8:34:38 h,"Bland, Ellis",
1,4:34:03 h,"Bland, Ellis",Bowland Fell Runners,GBR,1993,M,1,M23,1,10.947,4:34:03 h,1186436,Manx Mountain Marathon (GBR),08.04.2023,50km  trail race,"120 (95 M, 25 F)",4:34:03 h,,
2,20:24:25 h,"Bland, Ellis",,GBR,1993,M,2,M23,2,7.886,20:24:25 h,1186436,9th The Arc of Attrition 100 Mile (GBR),27.-28.01.2023,100mi  trail race,"209 (175 M, 34 F)",19:56:58 h,,
198,14:55:33 h,,Team Vaga,GBR,1993,M,166,M23,86,6.767,14:55:33 h,1186436,16ème Courmayeur-Champex-Chamonix (CCC) (ITA),26.08.2022,101km  trail race,"1727 (1480 M, 247 F)",9:53:02 h,"Bland, Ellis",
1,10:01:11 h,"Bland, Ellis",Team Våga,GBR,1993,M,1,M23,1,10.280,10:01:11 h,1186436,Roseland August Trail – Plague Rat (GBR),07.08.2021,64mi  trail race,"82 (64 M, 18 F)",10:01:11 h,,
2,6:29:17 h,"Bland, Ellis",Bowland Fell Runners,GBR,1993,M,2,M23,2,9.248,6:29:17 h,1186436,2nd Ambleside Trail 60km (GBR),13.09.2020,60km  trail race,"108 (81 M, 27 F)",6:17:57 h,,
1,6:24:00 h,"Bland, Ellis",*Durham,GBR,1993,M,1,M23,1,12.573,6:24:00 h,1186436,Chester Ultra 50 Miles (GBR),29.02.2020,50mi  trail race,"300 (221 M, 79 F)",6:24:00 h,,
2,15:36:13 h,"Bland, Ellis",,GBR,1993,M,2,M23,2,8.457,15:36:13 h,1186436,1st The Dales Way Challenge 82mi (GBR),17.-18.08.2019,82mi  trail race,"109 (78 M, 31 F)",14:35:53 h,,
8,5:51:12 h,"Bland, Ellis",,GBR,1993,M,8,M23,3,9.772,5:51:12 h,1186436,2nd Reservoir Dogs Ultra 57km (GBR),29.09.2018,57.2km  trail race,"65 (48 M, 17 F)",5:06:20 h,,
35,26:53:17 h,,,GBR,1983,M,33,M40,11,6.285,26:04:15 h,1248153,Lakeland 100 Mile (GBR),28.-30.07.2023,105mi  trail race,"380 (317 M, 63 F)",20:03:11 h,"Lynch, Tom",
4,6:40:36 h,"Lynch, Tom",,GBR,1983,M,4,M35,1,9.642,6:37:03 h,1248153,The Welcome Ultra 40mi (GBR),07.03.2020,40mi  trail race,"54 (47 M, 7 F)",6:07:24 h,,
155,22:02:21 h,"Lynch, Tom",,GBR,1983,M,101,M35,17,4.537,21:50:35 h,1248153,Peak District Challenge (GBR),13.-14.07.2019,100km  trail race,"501 (285 M, 216 F)",11:30:37 h,,
617,14:12:55 h,,Otley AC,GBR,1983,M,551,M35,134,5.135,14:08:14 h,1248153,11. Transvulcania 2019 (ESP),11.05.2019,73km  trail race,"962 (849 M, 113 F)",7:11:04 h,"Lynch, Tom",
36,13:45:00 h,"Lynch, Tom",,GBR,1983,M,32,M35,8,6.691,13:40:28 h,1248153,Ultra Tour of Arran (GBR),13.-14.04.2019,92km/2stages  trail race,"283 (233 M, 50 F)",10:39:00 h,,
4,6:22:36 h,"Lynch, Tom",,GBR,1983,M,4,M35,1,9.848,6:20:30 h,1248153,The Welcome Ultra 63km (GBR),02.03.2019,62.8km  trail race,"55 (44 M, 11 F)",5:47:46 h,,
93,9:39:35 h,"Lynch, Tom",Otley AC,GBR,1983,M,79,M35,13,6.164,9:36:24 h,1248153,Old County Tops Fell Race (GBR),19.05.2018,37mi  trail race,"208 (173 M, 35 F)",6:21:00 h,,
137,10:30:54 h,"Lynch, Tom",Otley AC,GBR,1983,M,119,M23,17,5.663,10:30:09 h,1248153,Old County Tops Fell Race (GBR),21.05.2016,37mi  trail race,"186 (156 M, 30 F)",6:53:51 h,,
14,10:06:56 h,"Devine-Wright, Patrick",,IRL,1970,M,11,M50,1,7.955,8:52:06 h,328814,5th The Arc of Attrition 50 Mile (GBR),28.01.2023,50mi  trail race,"187 (138 M, 49 F)",7:39:31 h,,
12,11:02:15 h,"Devine-Wright, Patrick",,IRL,1970,M,9,M50,1,7.290,9:45:46 h,328814,Lakes in a day Ultra (GBR),08.-09.10.2022,50mi  trail race,"358 (289 M, 69 F)",8:40:46 h,,
6,27:57:03 h,,,IRL,1970,M,5,M50,2,6.082,24:43:22 h,328814,Ultra Tour Monte Rosa 4 Stages (SUI),31.08.-03.09.2022,170km/4stages  stage race,"86 (58 M, 28 F)",26:55:43 h,"Devine-Wright, Patrick",
3,13:03:04 h,"Devine-Wright, Patrick",,IRL,1970,M,3,M50,1,7.892,11:32:38 h,328814,Roseland August Trail – Plague Rat (GBR),16.07.2022,64mi  trail race,"66 (58 M, 8 F)",12:15:25 h,,
3,6:12:20 h,"Devine-Wright, Patrick",,IRL,1970,M,3,M50,1,9.669,5:29:20 h,328814,Ballyhoura Trail Ultra Marathon (IRL),30.04.2022,60km  trail race,"38 (29 M, 9 F)",5:39:50 h,,
1,11:46:01 h,"Devine-Wright, Patrick",,IRL,1970,M,1,M50,1,8.480,10:29:55 h,328814,East Devon Round (GBR),01.-02.05.2021,62mi  trail race,"47 (36 M, 11 F)",11:46:01 h,,
4,9:16:18 h,"Devine-Wright, Patrick",,IRL,1970,M,4,M45,2,8.679,8:25:01 h,328814,Westcountry Hilly Ultra 50 Miler (GBR),18.-19.05.2019,50mi  trail race,"32 (26 M, 6 F)",8:28:10 h,,
7,9:35:09 h,"Devine-Wright, Patrick",AXE Valley Runners,IRL,1970,M,7,M45,2,8.394,8:42:08 h,328814,10th Hardmoors 55 (50miles) (GBR),16.03.2019,50mi  trail race,"281 (216 M, 65 F)",8:19:07 h,,
1,12:34:00 h,"Devine-Wright, Patrick",,IRL,1970,M,1,M45,1,7.958,11:30:22 h,328814,1st Jurassic Coast 100 Km Ultra (GBR),01.-02.06.2018,100km  trail race,"61 (48 M, 13 F)",12:34:00 h,,
5,7:31:04 h,"Devine-Wright, Patrick",,IRL,1970,M,5,M45,1,9.526,6:56:31 h,328814,11th Cornwall Classic Quarter Ultra Marathon (GBR),10.06.2017,44.5mi  trail race,"167 (119 M, 48 F)",6:44:33 h,,
5,9:20:16 h,"Devine-Wright, Patrick",,IRL,1970,M,5,M45,1,6.104,8:41:40 h,328814,V3K Ultra Skyrunning 2016 (GBR),18.06.2016,57km  trail race,"149 (123 M, 26 F)",7:46:39 h,,
2,19:55:00 h,"Devine-Wright, Patrick",Axe Valley Runners,IRL,1970,M,2,M40,1,8.242,18:51:19 h,328814,Cotswold Way Century (GBR),27.-28.09.2014,102mi  trail race,"55 (48 M, 7 F)",19:31:00 h,,
3,6:59:37 h,,,IRL,1970,M,3,M40,1,9.205,6:40:32 h,328814,4th Ultra Brecon 40 - Winter (GBR),07.12.2013,40mi  trail race,"162 (141 M, 21 F)",6:16:30 h,"Devine-Wright, Patrick",
3,7:37:25 h,"Devine-Wright, Patrick",,IRL,1970,M,3,M40,1,10.555,7:16:37 h,328814,3rd Wye One Way 50 Miles (GBR),05.10.2013,50mi  trail race,"91 (71 M, 20 F)",7:10:35 h,,
3,4:04:52 h,"Devine-Wright, Patrick",,IRL,1970,M,3,M40,1,12.252,3:53:44 h,328814,12th Glasshouse Flinders Tour 50 km (AUS),28.07.2013,50km  trail race,"82 (51 M, 31 F)",3:51:00 h,,
2,6:58:50 h,"Devine-Wright, Patrick",,IRL,1970,M,2,M40,1,9.222,6:39:47 h,328814,3rd Ultra Brecon 40 - Summer (GBR),11.05.2013,40mi  trail race,"112 (96 M, 16 F)",6:17:35 h,,
3,2d 01:02:04 h,"Devine-Wright, Patrick",,IRL,1970,M,3,M40,1,5.955,47:11:10 h,328814,2nd Dragon's Back Race (GBR),03.-07.09.2012,292km/5stages  trail race,"32 (26 M, 6 F)",43:25:30 h,,
1,4:06:49 h,"Devine-Wright, Patrick",,IRL,1970,M,1,M40,1,12.155,3:57:31 h,328814,11th Glasshouse Flinders Tour 50 km (AUS),29.07.2012,50km  trail race,"53 (39 M, 14 F)",4:06:49 h,,
11,11:07:17 h,,,GBR,1970,M,10,M45,1,8.992,10:16:11 h,788097,London 2 Brighton Challenge (GBR),27.-28.05.2017,100km  trail race,"1168 (627 M, 541 F)",9:37:26 h,"Goddard, David",
18,140.000 km,"Goddard, David",Barrow Runners,GBR,1970,M,14,M40,3,5.833,149.111 km,788097,Equinox 24 hour run Leicestershire (GBR),19.-20.09.2015,24h  trail race,"137 (90 M, 47 F)",200.000 km,,
19,7:59:00 h,"Hobbs, Joseph",Lonsdale FR,GBR,,M,19,#NA,4,7.459,7:59:00 h,1051489,Old County Tops Fell Race (GBR),18.05.2019,37mi  trail race,"246 (201 M, 45 F)",6:58:08 h,,
17,8:12:00 h,"Hobbs, Joseph",Lonsdale FR,GBR,,M,16,#NA,5,7.262,8:12:00 h,1051489,Old County Tops Fell Race (GBR),19.05.2018,37mi  trail race,"208 (173 M, 35 F)",6:21:00 h,,
17,13:56:00 h,"Hobbs, Joseph",Lonsdale Fell Runners ...,GBR,,M,17,#NA,3,7.046,13:56:00 h,1051489,56th The Fellsman (GBR),28.-29.04.2018,61mi  trail race,"261 (210 M, 51 F)",11:16:00 h,,
20,7:18:32 h,"Hobbs, Joseph",,GBR,,M,17,#NA,4,8.367,7:18:32 h,1051489,7th Tour de Helvellyn (GBR),16.12.2017,38mi  trail race,"160 (127 M, 33 F)",5:54:47 h,,
85,9:43:02 h,"Hobbs, Joseph",Lonsdale FR,GBR,,M,74,#NA,26,6.128,9:43:02 h,1051489,Old County Tops Fell Race (GBR),20.05.2017,37mi  trail race,"176 (150 M, 26 F)",6:38:03 h,,
15,13:16:00 h,"Hobbs, Joseph",Lonsdale Fell Runners,GBR,,M,15,#NA,1,7.400,13:16:00 h,1051489,55th The Fellsman (GBR),29.-30.04.2017,61mi  trail race,"291 (246 M, 45 F)",11:21:00 h,,
8,4:17:37 h,,,IRL,1979,M,8,M40,1,11.620,4:01:53 h,276348,2nd Hundred Hills 50km (GBR),16.03.2024,31mi  trail race,"385 (297 M, 88 F)",3:57:20 h,"Shannon, Mark",
139,29:49:46 h,,*Berkhamsted,IRL,1979,M,124,M40,23,4.861,28:14:23 h,276348,13ème Sur les Traces des Ducs de Savoie (TDS) (ITA),29.08.2023,145km  trail race,"998 (882 M, 116 F)",19:36:35 h,"Shannon, Mark",
41,18:53:03 h,,,IRL,1979,M,36,M40,9,5.454,17:52:40 h,276348,6th Ultra-Trail Snowdonia - 100K (GBR),13.-14.05.2023,103km  trail race,"397 (343 M, 54 F)",13:27:28 h,"Shannon, Mark",
9,9:10:33 h,,*Berkhamsted,IRL,1979,M,8,M40,1,8.769,8:41:13 h,276348,6th Wendover Woods 50 (GBR),12.11.2022,50mi  trail race,"198 (164 M, 34 F)",8:05:44 h,"Shannon, Mark",
170,31:20:25 h,,,IRL,1979,M,144,M40,25,4.627,29:54:52 h,276348,12ème Sur les Traces des Ducs de Savoie (TDS) (ITA),23.08.2022,145km  trail race,"1072 (961 M, 111 F)",18:37:04 h,"Shannon, Mark",
1010,43:19:32 h,,,GER,1965,M,905,M55,64,3.347,36:38:10 h,76,12ème Sur les Traces des Ducs de Savoie (TDS) (ITA),23.08.2022,145km  trail race,"1072 (961 M, 111 F)",18:37:04 h,"Bajohr, Harald",
6,5:09:46 h,"Shannon, Mark",*Berkhamsted,IRL,1979,M,6,M40,2,9.663,4:55:41 h,276348,3rd Wendover Woods Night 50km (GBR),16.07.2022,31mi  trail race,"167 (128 M, 39 F)",4:27:17 h,,
8,9:03:47 h,,*Hertfordshire,IRL,1979,M,8,M40,1,8.879,8:47:16 h,276348,4th Wendover Woods 50 (GBR),16.11.2019,50mi  trail race,"200 (174 M, 26 F)",7:26:17 h,"Shannon, Mark",
12,19:42:40 h,,*Hertfordshire,IRL,1979,M,12,M35,4,8.401,19:14:32 h,276348,9th North Downs Way 100 Mile Race (GBR),03.-04.08.2019,102.9mi  trail race,"188 (160 M, 28 F)",15:18:41 h,"Shannon, Mark",
3,4:57:06 h,"Shannon, Mark",*Hertfordshire,IRL,1979,M,3,M35,1,10.098,4:50:02 h,276348,1st Wendover Woods Night 50km (GBR),12.-13.07.2019,50km  trail race,"132 (101 M, 31 F)",4:34:11 h,,
11,8:50:15 h,,,IRL,1979,M,11,M35,5,9.105,8:40:43 h,276348,2nd Wendover Woods 50 (GBR),25.11.2017,50mi  trail race,"185 (145 M, 40 F)",7:33:59 h,"Shannon, Mark",
140,32:55:11 h,,*Berkhamsted,IRL,1979,M,127,M35,39,5.164,32:37:37 h,276348,14ème Ultra Trail Tour du Mont Blanc (UTMB) (FRA),26.-28.08.2016,170km  trail race,"1468 (1337 M, 131 F)",22:00:02 h,"Shannon, Mark",
3,8:18:48 h,"Shannon, Mark",,IRL,1979,M,3,M35,2,8.711,8:14:22 h,276348,Coastal Trail Series - Exmoor Ultra Plus (GBR),09.04.2016,45mi  trail race,"30 (25 M, 5 F)",7:19:30 h,,
4,18:19:03 h,"Shannon, Mark",,IRL,1979,M,4,M35,1,6.906,18:13:01 h,276348,The Oner 78.6 Mile Trail Run (GBR),11.-12.04.2015,78.6mi  trail race,"48 (41 M, 7 F)",17:17:18 h,,
9,8:11:43 h,"Shannon, Mark",,IRL,1979,M,8,M35,3,7.855,8:09:01 h,276348,5th Ultra Brecon 40 - Winter (GBR),06.12.2014,40mi  trail race,"117 (100 M, 17 F)",7:29:32 h,,
14,10:18:05 h,"Shannon, Mark",,IRL,1979,M,14,M35,2,7.766,10:14:42 h,276348,Lake District 3x3000 Ultra Trail (GBR),04.10.2014,80km  trail race,"160 (144 M, 16 F)",8:28:56 h,,
9,5:16:55 h,"Shannon, Mark",,IRL,1979,M,9,M23,4,9.049,5:16:00 h,276348,1st Peaks Skyrace (Peak Skyline) (GBR),10.08.2014,29.7mi  trail race,"76 (61 M, 15 F)",4:22:52 h,,
12,6:50:24 h,"Shannon, Mark",,IRL,1979,M,10,M23,6,7.906,6:49:13 h,276348,Coastal Trail Series - Dorset Ultra (GBR),07.12.2013,33.6mi  trail race,"75 (63 M, 12 F)",5:23:16 h,,
13,20:34:27 h,"Shannon, Mark",,IRL,1979,M,12,M23,5,7.822,20:32:59 h,276348,3rd North Downs Way 100 Mile Race (GBR),10.-11.08.2013,100mi  trail race,"97 (85 M, 12 F)",15:44:39 h,,
19,8:45:31 h,"Shannon, Mark",,IRL,1979,M,17,M23,6,7.350,8:44:54 h,276348,3rd Ultra Brecon 40 - Winter (GBR),01.12.2012,40mi  trail race,"112 (98 M, 14 F)",6:39:45 h,,
3,6:06:34 h,"Shannon, Mark",,IRL,1979,M,3,M23,1,8.956,6:06:08 h,276348,Coastal Trail Series - Gower Ultra (GBR),10.11.2012,34mi  trail race,"19 (17 M, 2 F)",6:02:37 h,,
26,8:30:25 h,"Shannon, Mark",,IRL,1979,M,23,M23,5,9.459,8:30:19 h,276348,2nd Dingle 50 Mile Ultra Marathon (IRL),01.09.2012,50mi  road race,"60 (50 M, 10 F)",5:59:25 h,,
31,7:31:25 h,"Shannon, Mark",,IRL,1979,M,27,M23,13,8.556,7:31:20 h,276348,Derbyshire Peaks 40 Miles (GBR),18.08.2012,40mi  trail race,"59 (53 M, 6 F)",5:10:02 h,,
28,8:55:58 h,"Shannon, Mark",,IRL,1979,M,23,M23,6,7.927,8:55:52 h,276348,6th Cornwall Classic Quarter Ultra Marathon (GBR),23.06.2012,44mi  trail race,"138 (116 M, 22 F)",6:35:53 h,,
39,6:31:34 h,"Shannon, Mark",,IRL,1979,M,32,M23,13,8.631,6:31:30 h,276348,Northants Ultra 35 (GBR),27.05.2012,35mi  trail race,"131 (102 M, 29 F)",4:16:07 h,,
16,6:05:02 h,"Shannon, Mark",,IRL,1979,M,15,M23,2,8.994,6:04:58 h,276348,Coastal Trail Series - Exmoor Ultra (GBR),14.04.2012,34mi  trail race,"56 (52 M, 4 F)",4:34:50 h,,
30,5:45:15 h,"Shannon, Mark",,IRL,1979,M,29,M23,13,8.863,5:45:11 h,276348,Wicklow Way 51 km Ultra (IRL),24.03.2012,51km  trail race,"66 (62 M, 4 F)",4:11:03 h,,
44,7:43:10 h,"Crawshaw, Loxley",,GBR,,M,38,#NA,8,8.339,7:43:10 h,478411,27th High Peak 40 Mile Challenge (GBR),21.09.2013,40mi  trail race,"143 (116 M, 27 F)",5:26:13 h,,
11,6:37:20 h,"Nikolich, Barney",,GBR,1994,M,11,M23,4,9.235,6:37:20 h,519978,10th Tour de Helvellyn (GBR),21.12.2019,38mi  trail race,"187 (145 M, 42 F)",5:59:40 h,,
27,14:58:00 h,"Nikolich, Barney",,GBR,1994,M,25,M23,4,6.559,14:58:00 h,519978,57th The Fellsman (GBR),27.-28.04.2019,61mi  trail race,"220 (179 M, 41 F)",11:18:00 h,,
60,10:08:59 h,"Nikolich, Barney",,GBR,1994,M,52,M23,9,6.660,10:08:59 h,519978,6th Lakes Mountain 42 (GBR),30.03.2019,42mi  trail race,"150 (118 M, 32 F)",7:05:08 h,,
9,12:36:00 h,"Nikolich, Barney",,GBR,1994,M,9,M23,2,7.791,12:36:00 h,519978,56th The Fellsman (GBR),28.-29.04.2018,61mi  trail race,"261 (210 M, 51 F)",11:16:00 h,,
30,6:30:43 h,"Nikolich, Barney",,GBR,1994,M,28,M23,7,9.391,6:30:43 h,519978,6th Jedburgh Three Peaks Ultramarathon (GBR),28.10.2017,38mi  trail race,"199 (131 M, 68 F)",5:09:48 h,,
17,12:26:12 h,"Nikolich, Barney",,GBR,1994,M,16,MU23,1,7.764,12:26:12 h,519978,7th Hardmoors 60 (GBR),16.09.2017,60mi  trail race,"162 (120 M, 42 F)",10:06:20 h,,
54,15:47:00 h,"Nikolich, Barney",,GBR,1994,M,52,MU23,2,6.220,15:47:00 h,519978,55th The Fellsman (GBR),29.-30.04.2017,61mi  trail race,"291 (246 M, 45 F)",11:21:00 h,,
140,21:35:00 h,"Nikolich, Barney",,GBR,1994,M,126,MU23,1,4.548,21:35:00 h,519978,54th The Fellsman (GBR),30.04.-01.05.2016,61mi  trail race,"217 (191 M, 26 F)",11:31:00 h,,
13,6:07:55 h,"Nikolich, Barney",,GBR,1994,M,13,MU23,1,8.154,6:07:55 h,519978,Isle of Man Mountain Ultra (GBR),03.10.2015,50km  trail race,"73 (57 M, 16 F)",5:18:24 h,,
51,15:35:00 h,"Nikolich, Barney",,GBR,1994,M,48,MU23,1,6.300,15:35:00 h,519978,53rd The Fellsman (GBR),25.-26.04.2015,61mi  trail race,"279 (238 M, 41 F)",10:23:00 h,,
6,6:38:00 h,"Nikolich, Barney",*Newcastle-Upon-Tyne,GBR,1994,M,6,MU23,1,8.977,6:38:00 h,519978,37th Calderdale Hike 37 Miles (GBR),11.04.2015,37mi  trail race,"75 (58 M, 17 F)",5:31:00 h,,
31,5:05:03 h,"Nikolich, Barney",Tyne Bridge H,GBR,1994,M,31,MU23,1,10.129,5:05:03 h,519978,Haworth Hobble 32 Miles (GBR),14.03.2015,32mi  trail race,"383 (301 M, 82 F)",4:09:10 h,,
15,6:49:23 h,"Nikolich, Barney",,GBR,1994,M,15,MU23,1,9.435,6:49:23 h,519978,28th High Peak 40 Mile Challenge (GBR),20.09.2014,40mi  trail race,"140 (116 M, 24 F)",5:20:45 h,,
8,6:31:00 h,"Nikolich, Barney",*Newcastle Upon Tyne,GBR,1994,M,7,MU23,1,9.137,6:31:00 h,519978,36th Calderdale Hike 37 Miles (GBR),12.04.2014,37mi  trail race,"85 (68 M, 17 F)",5:24:00 h,,
10,6:37:16 h,"Pulham, Harry",,GBR,1995,M,10,M23,3,9.236,6:37:16 h,1022181,10th Tour de Helvellyn (GBR),21.12.2019,38mi  trail race,"187 (145 M, 42 F)",5:59:40 h,,
27,14:58:00 h,"Pulham, Harry",,GBR,1995,M,25,M23,4,6.559,14:58:00 h,1022181,57th The Fellsman (GBR),27.-28.04.2019,61mi  trail race,"220 (179 M, 41 F)",11:18:00 h,,
61,10:09:16 h,"Pulham, Harry",,GBR,1995,M,53,M23,10,6.656,10:09:16 h,1022181,6th Lakes Mountain 42 (GBR),30.03.2019,42mi  trail race,"150 (118 M, 32 F)",7:05:08 h,,
8,6:08:16 h,"Pulham, Harry",Jesmond Joggers,GBR,1995,M,8,MU23,1,10.916,6:08:16 h,1022181,2nd Tweed Valley Ultra 65km (GBR),18.11.2018,67km  trail race,"101 (83 M, 18 F)",5:32:05 h,,
4,11:26:11 h,"Pulham, Harry",,GBR,1995,M,4,MU23,1,8.443,11:26:11 h,1022181,Ultra Tour of Peak District (GBR),25.-26.08.2018,60mi  trail race,"40 (32 M, 8 F)",10:41:00 h,,
12,5:48:15 h,"Pulham, Harry",,GBR,1995,M,12,MU23,2,9.705,5:48:15 h,1022181,The Round Ripon Ultra 35 (GBR),07.10.2017,35mi  trail race,"100 (68 M, 32 F)",4:59:31 h,,
87,10:44:12 h,"Woolley, Simon",,GBR,1986,M,74,M23,12,6.295,10:43:26 h,1000093,6th Lakes Mountain 42 (GBR),30.03.2019,42mi  trail race,"150 (118 M, 32 F)",7:05:08 h,,
343,11:52:28 h,,,GBR,1986,M,278,M23,38,7.183,11:52:28 h,1000093,12th Highland Fling Race 53 Mile (GBR),29.04.2017,53mi  trail race,"679 (490 M, 189 F)",6:41:13 h,"Woolley, Simon",
100,5:36:20 h,"Woolley, Simon",Hook Norton Harriers,GBR,1986,M,83,MU23,3,9.187,5:36:20 h,1000093,9th Dartmoor Discovery 32 Mile Ultra Marathon (GBR),02.06.2007,32mi  road race,"160 (126 M, 34 F)",3:44:58 h,,
116,31:31:46 h,"Tatman, Rob",,GBR,1978,M,101,M40,31,5.104,29:50:57 h,1054523,Lakeland 100 Mile (GBR),29.-31.07.2022,100mi  trail race,"323 (265 M, 58 F)",20:46:02 h,,
20,5:56:40 h,,,GBR,1978,M,17,M40,3,8.772,5:45:50 h,1054523,Coastal Trail Series - Exmoor Ultra (GBR),06.04.2019,32.4mi  trail race,"84 (73 M, 11 F)",4:52:46 h,"Tatman, Rob",
98,23:41:54 h,,,GBR,1978,M,88,M35,19,3.599,23:08:04 h,1054523,1st Ultra-Trail Snowdonia UTS50 (GBR),12.-13.05.2018,53mi  trail race,"129 (113 M, 16 F)",11:30:25 h,"Tatman, Rob",
29,7:46:52 h,,,GBR,1978,M,28,M35,7,10.341,7:35:46 h,1054523,10th GB Ultra Thames Trot (GBR),03.02.2018,50mi  trail race,"200 (156 M, 44 F)",6:12:04 h,"Tatman, Rob",
439,11:11:16 h,,Abingdon Athletics Club,GBR,1968,M,339,M50,32,4.916,9:38:02 h,1202774,4th Ultra-Trail Snowdonia - 50K (GBR),13.05.2023,55km  trail race,"875 (693 M, 182 F)",5:27:11 h,"MacLennan, Cal",
39,21:28:15 h,"MacLennan, Cal",,GBR,1968,M,33,M50,5,6.446,18:49:25 h,1202774,17th Ridgeway Challenge 86 Mile Trail Run (GBR),28.-29.08.2021,86mi  trail race,"80 (59 M, 21 F)",13:22:12 h,,
288,32:33:53 h,,,GBR,1968,M,261,M50,15,4.453,29:03:16 h,1202774,10ème Sur les Traces des Ducs de Savoie (TDS) (ITA),28.08.2019,145km  trail race,"1091 (969 M, 122 F)",18:03:06 h,"MacLennan, Cal",
